,Q2-19,Q3-19,Q2-20,Q3-20
Indego30,133344.0,193213.0,129905.0,203931.0
Indego365,37843.0,47471.0,18515.0,30524.0
Day Pass,34197.0,34458.0,38165.0,35530.0
IndegoFlex,851.0,55.0,1.0,
Walk-up,84.0,,,
standard,193132.0,215693.0,138198.0,209025.0
electric,13222.0,59504.0,48388.0,60960.0
Average_Duration,23.674069802378437,26.047871161386208,39.23600913251798,27.292601440820786
Total_Trips,206354.0,275197.0,186586.0,269985.0
One Way,189886.0,253109.0,147422.0,233699.0
Round Trip,16468.0,22088.0,39164.0,36286.0
